,Year,District Name,Age,Immigrants
450,2017,Eixample,30-34,530
451,2017,Eixample,30-34,615
452,2017,Eixample,30-34,734
453,2017,Eixample,30-34,442
454,2017,Sants-Montjuïc,30-34,555
455,2017,Sants-Montjuïc,30-34,10
456,2017,Sants-Montjuïc,30-34,168
457,2017,Sants-Montjuïc,30-34,102
458,2017,Sants-Montjuïc,30-34,205
459,2017,Sants-Montjuïc,30-34,188
460,2017,Sants-Montjuïc,30-34,239
461,2017,Sants-Montjuïc,30-34,454
462,2017,Les Corts,30-34,331
463,2017,Les Corts,30-34,196
464,2017,Les Corts,30-34,85
465,2017,Sarrià-Sant Gervasi,30-34,20
466,2017,Sarrià-Sant Gervasi,30-34,140
467,2017,Sarrià-Sant Gervasi,30-34,86
468,2017,Sarrià-Sant Gervasi,30-34,128
469,2017,Sarrià-Sant Gervasi,30-34,330
470,2017,Sarrià-Sant Gervasi,30-34,229
471,2017,Gràcia,30-34,132
472,2017,Gràcia,30-34,60
473,2017,Gràcia,30-34,121
474,2017,Gràcia,30-34,760
475,2017,Gràcia,30-34,328
476,2017,Horta-Guinardó,30-34,201
477,2017,Horta-Guinardó,30-34,93
478,2017,Horta-Guinardó,30-34,306
479,2017,Horta-Guinardó,30-34,41
480,2017,Horta-Guinardó,30-34,209
481,2017,Horta-Guinardó,30-34,82
482,2017,Horta-Guinardó,30-34,28
483,2017,Horta-Guinardó,30-34,42
484,2017,Horta-Guinardó,30-34,39
485,2017,Horta-Guinardó,30-34,7
486,2017,Horta-Guinardó,30-34,161
487,2017,Nou Barris,30-34,143
488,2017,Nou Barris,30-34,168
489,2017,Nou Barris,30-34,126
490,2017,Nou Barris,30-34,3
491,2017,Nou Barris,30-34,60
492,2017,Nou Barris,30-34,18
493,2017,Nou Barris,30-34,126
494,2017,Nou Barris,30-34,85
495,2017,Nou Barris,30-34,161
496,2017,Nou Barris,30-34,58
497,2017,Nou Barris,30-34,15
498,2017,Nou Barris,30-34,116
499,2017,Nou Barris,30-34,10
500,2017,Sant Andreu,30-34,88
501,2017,Sant Andreu,30-34,8
502,2017,Sant Andreu,30-34,82
503,2017,Sant Andreu,30-34,296
504,2017,Sant Andreu,30-34,179
505,2017,Sant Andreu,30-34,101
506,2017,Sant Andreu,30-34,177
507,2017,Sant Martí,30-34,389
508,2017,Sant Martí,30-34,232
509,2017,Sant Martí,30-34,146
510,2017,Sant Martí,30-34,58
511,2017,Sant Martí,30-34,331
512,2017,Sant Martí,30-34,112
513,2017,Sant Martí,30-34,237
514,2017,Sant Martí,30-34,174
515,2017,Sant Martí,30-34,188
516,2017,Sant Martí,30-34,172
517,2017,No consta,30-34,0
518,2017,Ciutat Vella,35-39,594
519,2017,Ciutat Vella,35-39,273
520,2017,Ciutat Vella,35-39,181
521,2017,Ciutat Vella,35-39,282
522,2017,Eixample,35-39,249
523,2017,Eixample,35-39,351
524,2017,Eixample,35-39,309
525,2017,Eixample,35-39,319
526,2017,Eixample,35-39,406
527,2017,Eixample,35-39,240
528,2017,Sants-Montjuïc,35-39,341
529,2017,Sants-Montjuïc,35-39,2
530,2017,Sants-Montjuïc,35-39,164
531,2017,Sants-Montjuïc,35-39,68
532,2017,Sants-Montjuïc,35-39,107
533,2017,Sants-Montjuïc,35-39,93
534,2017,Sants-Montjuïc,35-39,165
535,2017,Sants-Montjuïc,35-39,321
536,2017,Les Corts,35-39,214
537,2017,Les Corts,35-39,149
538,2017,Les Corts,35-39,66
539,2017,Sarrià-Sant Gervasi,35-39,25
540,2017,Sarrià-Sant Gervasi,35-39,130
541,2017,Sarrià-Sant Gervasi,35-39,70
542,2017,Sarrià-Sant Gervasi,35-39,115
543,2017,Sarrià-Sant Gervasi,35-39,217
544,2017,Sarrià-Sant Gervasi,35-39,140
545,2017,Gràcia,35-39,80
546,2017,Gràcia,35-39,31
547,2017,Gràcia,35-39,82
548,2017,Gràcia,35-39,386
549,2017,Gràcia,35-39,170
550,2017,Horta-Guinardó,35-39,163
551,2017,Horta-Guinardó,35-39,62
552,2017,Horta-Guinardó,35-39,228
553,2017,Horta-Guinardó,35-39,22
554,2017,Horta-Guinardó,35-39,166
555,2017,Horta-Guinardó,35-39,50
556,2017,Horta-Guinardó,35-39,43
557,2017,Horta-Guinardó,35-39,27
558,2017,Horta-Guinardó,35-39,16
559,2017,Horta-Guinardó,35-39,7
560,2017,Horta-Guinardó,35-39,142
561,2017,Nou Barris,35-39,117
562,2017,Nou Barris,35-39,153
563,2017,Nou Barris,35-39,86
564,2017,Nou Barris,35-39,9
565,2017,Nou Barris,35-39,47
566,2017,Nou Barris,35-39,16
567,2017,Nou Barris,35-39,93
568,2017,Nou Barris,35-39,62
569,2017,Nou Barris,35-39,126
570,2017,Nou Barris,35-39,43
571,2017,Nou Barris,35-39,7
572,2017,Nou Barris,35-39,77
573,2017,Nou Barris,35-39,8
574,2017,Sant Andreu,35-39,67
575,2017,Sant Andreu,35-39,9
576,2017,Sant Andreu,35-39,62
577,2017,Sant Andreu,35-39,225
578,2017,Sant Andreu,35-39,173
579,2017,Sant Andreu,35-39,57
580,2017,Sant Andreu,35-39,103
581,2017,Sant Martí,35-39,235
582,2017,Sant Martí,35-39,141
583,2017,Sant Martí,35-39,114
584,2017,Sant Martí,35-39,46
585,2017,Sant Martí,35-39,227
586,2017,Sant Martí,35-39,121
587,2017,Sant Martí,35-39,231
588,2017,Sant Martí,35-39,115
589,2017,Sant Martí,35-39,107
590,2017,Sant Martí,35-39,122
591,2017,No consta,35-39,0
592,2017,Ciutat Vella,40-44,347
593,2017,Ciutat Vella,40-44,155
594,2017,Ciutat Vella,40-44,101
595,2017,Ciutat Vella,40-44,143
596,2017,Eixample,40-44,129
597,2017,Eixample,40-44,206
598,2017,Eixample,40-44,193
599,2017,Eixample,40-44,197
600,2017,Eixample,40-44,221
601,2017,Eixample,40-44,173
602,2017,Sants-Montjuïc,40-44,205
603,2017,Sants-Montjuïc,40-44,4
604,2017,Sants-Montjuïc,40-44,106
605,2017,Sants-Montjuïc,40-44,45
606,2017,Sants-Montjuïc,40-44,69
607,2017,Sants-Montjuïc,40-44,62
608,2017,Sants-Montjuïc,40-44,119
609,2017,Sants-Montjuïc,40-44,197
610,2017,Les Corts,40-44,199
611,2017,Les Corts,40-44,91
612,2017,Les Corts,40-44,73
613,2017,Sarrià-Sant Gervasi,40-44,18
614,2017,Sarrià-Sant Gervasi,40-44,128
615,2017,Sarrià-Sant Gervasi,40-44,70
616,2017,Sarrià-Sant Gervasi,40-44,93
617,2017,Sarrià-Sant Gervasi,40-44,194
618,2017,Sarrià-Sant Gervasi,40-44,109
619,2017,Gràcia,40-44,48
620,2017,Gràcia,40-44,24
621,2017,Gràcia,40-44,41
622,2017,Gràcia,40-44,219
623,2017,Gràcia,40-44,114
624,2017,Horta-Guinardó,40-44,75
625,2017,Horta-Guinardó,40-44,35
626,2017,Horta-Guinardó,40-44,125
627,2017,Horta-Guinardó,40-44,32
628,2017,Horta-Guinardó,40-44,101
629,2017,Horta-Guinardó,40-44,37
630,2017,Horta-Guinardó,40-44,20
631,2017,Horta-Guinardó,40-44,13
632,2017,Horta-Guinardó,40-44,13
633,2017,Horta-Guinardó,40-44,3
634,2017,Horta-Guinardó,40-44,96
635,2017,Nou Barris,40-44,85
636,2017,Nou Barris,40-44,108
637,2017,Nou Barris,40-44,61
638,2017,Nou Barris,40-44,3
639,2017,Nou Barris,40-44,36
640,2017,Nou Barris,40-44,16
641,2017,Nou Barris,40-44,63
642,2017,Nou Barris,40-44,48
643,2017,Nou Barris,40-44,94
644,2017,Nou Barris,40-44,46
645,2017,Nou Barris,40-44,9
646,2017,Nou Barris,40-44,65
647,2017,Nou Barris,40-44,11
648,2017,Sant Andreu,40-44,58
649,2017,Sant Andreu,40-44,8
650,2017,Sant Andreu,40-44,67
651,2017,Sant Andreu,40-44,179
652,2017,Sant Andreu,40-44,99
653,2017,Sant Andreu,40-44,50
654,2017,Sant Andreu,40-44,85
655,2017,Sant Martí,40-44,147
656,2017,Sant Martí,40-44,91
657,2017,Sant Martí,40-44,49
658,2017,Sant Martí,40-44,43
659,2017,Sant Martí,40-44,152
660,2017,Sant Martí,40-44,82
661,2017,Sant Martí,40-44,195
662,2017,Sant Martí,40-44,71
663,2017,Sant Martí,40-44,72
664,2017,Sant Martí,40-44,110
665,2017,No consta,40-44,0
666,2017,Ciutat Vella,45-49,229
667,2017,Ciutat Vella,45-49,102
668,2017,Ciutat Vella,45-49,72
669,2017,Ciutat Vella,45-49,87
